"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"Omtzigt","D66",0.643200471751326,414,0.705281090289608,587,0.823835564221731,"#80808014"
"Omtzigt","PvdD",0.390810131279795,379,0.645655877342419,587,0.500564441642599,"#80808014"
"Omtzigt","PvdA",0.556666640732515,402,0.686006825938567,586,0.712999750766029,"#80808014"
"Omtzigt","PVV",0.4340770467892,385,0.65587734241908,587,0.55598234837045,"#80808014"
"Omtzigt","SGP",0.989335795826567,462,0.787052810902896,587,1.26717881804454,"#80808014"
"Omtzigt","G<U+00FC>ndogan",-1.07305384345508,176,0.300341296928328,586,1.37440806931637,"#80808014"
"Omtzigt","Groep Van Haga",0.398021283864696,380,0.647359454855196,587,0.509800759430574,"#80808014"
"Omtzigt","ChristenUnie",0.974913490656766,460,0.784982935153584,586,1.24870618246859,"#80808014"
"Omtzigt","VVD",0.621567013996623,411,0.700170357751278,587,0.796126610857805,"#80808014"
"Omtzigt","BBB",0.76579006569464,431,0.734241908006814,587,0.980852966617309,"#80808014"
"Omtzigt","JA21",0.491766267468407,393,0.671794871794872,585,0.629872890674252,"#80808014"
"Omtzigt","Volt",0.693678539845632,421,0.718430034129693,586,0.888489788737557,"#80808014"
"Omtzigt","SP",0.441288199374101,386,0.65982905982906,585,0.565218666158426,"#80808014"
"Omtzigt","GroenLinks",0.556666640732515,402,0.684838160136286,587,0.712999750766029,"#80808014"
"Omtzigt","DENK",0.520610877808011,397,0.678632478632479,585,0.666818161826153,"#80808014"
"Omtzigt","FVD",0.109575180468661,340,0.580204778156997,586,0.5,"#80808014"
"Omtzigt","Fractie Den Haan",0.4340770467892,385,0.656996587030717,586,0.55598234837045,"#80808014"
"Omtzigt","Ephraim",-2.34221669839764,0,0,586,3,"#80808014"
"Omtzigt","CDA",0.92443542256246,453,0.773037542662116,586,1.18405195795276,"#80808014"
"Omtzigt","BIJ1",0.297065147676084,366,0.628865979381443,582,0.5,"#80808014"
"PvdD","D66",0.477343962298605,391,0.66271186440678,590,0.611400255098302,"#80808014"
"PvdA","D66",0.895590812222856,449,0.763605442176871,588,1.14710668680086,"#80808014"
"D66","PVV",-0.380783195304599,272,0.461016949152542,590,0.5,"#80808014"
"D66","SGP",0.477343962298605,391,0.66271186440678,590,0.611400255098302,"#80808014"
"G<U+00FC>ndogan","D66",-0.921619639172164,197,0.335034013605442,588,1.18044539576889,"#80808014"
"D66","Groep Van Haga",-0.359149737549896,275,0.466101694915254,590,0.5,"#80808014"
"ChristenUnie","D66",1.05423616909068,471,0.801020408163265,588,1.35030567813632,"#808080D9"
"D66","VVD",0.715311997600334,424,0.71864406779661,590,0.916198742101483,"#80808014"
"D66","BBB",0.0951528752988591,338,0.572881355932203,590,0.5,"#80808014"
"JA21","D66",-0.243771296191482,291,0.495741056218058,587,0.5,"#80808014"
"D66","Volt",1.01818040616617,466,0.792517006802721,588,1.30412408919644,"#808080D9"
"D66","SP",0.506188572638209,395,0.672913117546848,587,0.648345526250202,"#80808014"
"D66","GroenLinks",0.902801964807757,450,0.76271186440678,590,1.15634300458884,"#80808014"
"DENK","D66",0.419654741619398,383,0.651360544217687,588,0.5375097127945,"#80808014"
"FVD","D66",-0.532217399587517,251,0.426146010186757,589,0.681684235218226,"#80808014"
"D66","Fractie Den Haan",0.873957354468153,446,0.758503401360544,588,1.11939773343694,"#80808014"
"Ephraim","D66",-2.32779439322783,2,0.00340136054421769,588,2.98152736442405,"#80808014"
"D66","CDA",0.84511274412855,442,0.751700680272109,588,1.08245246228504,"#80808014"
"D66","BIJ1",0.398021283864696,380,0.650684931506849,584,0.509800759430574,"#80808014"
"PvdA","PvdD",1.43642725609042,524,0.891156462585034,588,1.839830520899,"#808080D9"
